gencodeId	geneSymbol	median	tissueSiteDetail	entrezGeneId	geneType	chromosome	start	end	strand	tss
ENSG00000116260.16	QSOX1	27.4936	Adipose - Subcutaneous	5768	protein coding	chr1	180154834	180204030	+	180154834
ENSG00000119227.7	PIGZ	12.5924	Adipose - Subcutaneous	80235	protein coding	chr3	196946343	196969060	-	196969060
ENSG00000119326.14	CTNNAL1	29.1882	Adipose - Subcutaneous	8727	protein coding	chr9	108942569	109013529	-	109013529
ENSG00000119537.15	KDSR	36.424	Adipose - Subcutaneous	2531	protein coding	chr18	63327726	63367510	-	63367510
ENSG00000120253.13	NUP43	16.5678	Adipose - Subcutaneous	348995	protein coding	chr6	149724315	149749665	-	149749665
ENSG00000120341.18	SEC16B	7.09726	Adipose - Subcutaneous	89866	protein coding	chr1	177923956	177984303	-	177984303
ENSG00000121053.5	EPX	0.114275	Adipose - Subcutaneous	8288	protein coding	chr17	58192737	58205174	+	58192737
ENSG00000124074.11	ENKD1	28.9562	Adipose - Subcutaneous	84080	protein coding	chr16	67662945	67667265	-	67667265
ENSG00000124444.15	ZNF576	7.70764	Adipose - Subcutaneous	79177	protein coding	chr19	43596392	43601157	+	43596392
ENSG00000124508.16	BTN2A2	6.21029	Adipose - Subcutaneous	10385	protein coding	chr6	26383096	26394874	+	26383096
ENSG00000125445.10	MRPS7	32.6824	Adipose - Subcutaneous	51081	protein coding	chr17	75261674	75266373	+	75261674
ENSG00000125450.10	NUP85	28.1682	Adipose - Subcutaneous	79902	protein coding	chr17	75205659	75235758	+	75205659
ENSG00000125733.17	TRIP10	161.177	Adipose - Subcutaneous	9322	protein coding	chr19	6737925	6751526	+	6737925
ENSG00000125735.10	TNFSF14	1.60001	Adipose - Subcutaneous	8740	protein coding	chr19	6661253	6670588	-	6670588
ENSG00000125779.21	PANK2	9.89685	Adipose - Subcutaneous	80025	protein coding	chr20	3888839	3929882	+	3888839
ENSG00000125945.14	ZNF436	16.235	Adipose - Subcutaneous	80818	protein coding	chr1	23359448	23369442	-	23369442
ENSG00000127452.8	FBXL12	22.2391	Adipose - Subcutaneous	54850	protein coding	chr19	9810267	9827816	-	9827816
ENSG00000127578.6	WFIKKN1	0.454795	Adipose - Subcutaneous	117166	protein coding	chr16	629239	634116	+	629239
ENSG00000127663.14	KDM4B	10.4573	Adipose - Subcutaneous	23030	protein coding	chr19	4969113	5153595	+	4969113
ENSG00000127957.17	PMS2P3	8.14014	Adipose - Subcutaneous	5387	transcribed unprocessed pseudogene	chr7	75502930	75528148	-	75528148
ENSG00000128191.15	DGCR8	19.1775	Adipose - Subcutaneous	54487	protein coding	chr22	20080232	20111877	+	20080232
ENSG00000132275.10	RRP8	8.4431	Adipose - Subcutaneous	23378	protein coding	chr11	6595075	6603620	-	6603620
ENSG00000132376.19	INPP5K	51.7137	Adipose - Subcutaneous	51763	protein coding	chr17	1494571	1516888	-	1516888
ENSG00000132382.14	MYBBP1A	30.41	Adipose - Subcutaneous	10514	protein coding	chr17	4538897	4555631	-	4555631
ENSG00000132603.13	NIP7	12.3306	Adipose - Subcutaneous	51388	protein coding	chr16	69339430	69343111	+	69339430
ENSG00000134184.12	GSTM1	25.5421	Adipose - Subcutaneous	2944	protein coding	chr1	109687814	109709039	+	109687814
ENSG00000134222.16	PSRC1	3.25837	Adipose - Subcutaneous	84722	protein coding	chr1	109279556	109283186	-	109283186
ENSG00000134324.11	LPIN1	32.415	Adipose - Subcutaneous	23175	protein coding	chr2	11677595	11827409	+	11677595
ENSG00000135744.7	AGT	7.42255	Adipose - Subcutaneous	183	protein coding	chr1	230702523	230714297	-	230714297
ENSG00000136868.10	SLC31A1	11.9125	Adipose - Subcutaneous	1317	protein coding	chr9	113221562	113264492	+	113221562
ENSG00000136875.12	PRPF4	19.378	Adipose - Subcutaneous	9128	protein coding	chr9	113275343	113292905	+	113275343
ENSG00000136888.6	ATP6V1G1	111.931	Adipose - Subcutaneous	9550	protein coding	chr9	114587746	114598373	+	114587746
ENSG00000137409.19	MTCH1	176.779	Adipose - Subcutaneous	23787	protein coding	chr6	36968141	36986298	-	36986298
ENSG00000137806.8	NDUFAF1	17.8066	Adipose - Subcutaneous	51103	protein coding	chr15	41387349	41402519	-	41402519
ENSG00000138030.12	KHK	3.65354	Adipose - Subcutaneous	3795	protein coding	chr2	27086747	27100772	+	27086747
ENSG00000138172.10	CALHM2	75.4145	Adipose - Subcutaneous	51063	protein coding	chr10	103446786	103452402	-	103452402
ENSG00000138336.8	TET1	0.941453	Adipose - Subcutaneous	80312	protein coding	chr10	68560656	68694482	+	68560656
ENSG00000138381.9	ASNSD1	37.9381	Adipose - Subcutaneous	54529	protein coding	chr2	189661385	189670831	+	189661385
ENSG00000139899.10	CBLN3	9.6595	Adipose - Subcutaneous	643866	protein coding	chr14	24426532	24430954	-	24430954
ENSG00000140400.16	MAN2C1	105.268	Adipose - Subcutaneous	4123	protein coding	chr15	75355207	75368630	-	75368630
ENSG00000140941.12	MAP1LC3B	93.7838	Adipose - Subcutaneous	81631	protein coding	chr16	87383995	87404779	+	87383995
ENSG00000141030.12	COPS3	46.6416	Adipose - Subcutaneous	8533	protein coding	chr17	17246820	17281293	-	17281293
ENSG00000141294.9	LRRC46	0.630644	Adipose - Subcutaneous	90506	protein coding	chr17	47831627	47837713	+	47831627
ENSG00000141385.9	AFG3L2	35.579	Adipose - Subcutaneous	10939	protein coding	chr18	12328944	12377314	-	12377314
ENSG00000141542.10	RAB40B	8.66555	Adipose - Subcutaneous	10966	protein coding	chr17	82654973	82698728	-	82698728
ENSG00000142507.9	PSMB6	148.888	Adipose - Subcutaneous	5694	protein coding	chr17	4796144	4798503	+	4796144
ENSG00000142552.7	RCN3	63.2429	Adipose - Subcutaneous	57333	protein coding	chr19	49527618	49546962	+	49527618
ENSG00000142856.16	ITGB3BP	3.9701	Adipose - Subcutaneous	23421	protein coding	chr1	63440770	63593721	-	63593721
ENSG00000143224.17	PPOX	19.3225	Adipose - Subcutaneous	5498	protein coding	chr1	161166410	161178013	+	161166410
ENSG00000143498.17	TAF1A	3.18677	Adipose - Subcutaneous	9015	protein coding	chr1	222557902	222589933	-	222589933
ENSG00000144559.10	TAMM41	7.68453	Adipose - Subcutaneous	132001	protein coding	chr3	11790442	11846919	-	11846919
ENSG00000144895.11	EIF2A	100.819	Adipose - Subcutaneous	83939	protein coding	chr3	150546678	150584242	+	150546678
ENSG00000146707.14	POMZP3	19.6088	Adipose - Subcutaneous	22932	protein coding	chr7	76609986	76627261	-	76627261
ENSG00000148498.15	PARD3	18.1146	Adipose - Subcutaneous	56288	protein coding	chr10	34109560	34815325	-	34815325
ENSG00000148719.14	DNAJB12	26.267	Adipose - Subcutaneous	54788	protein coding	chr10	72332830	72355230	-	72355230
ENSG00000149231.11	CCDC82	26.9061	Adipose - Subcutaneous	79780	protein coding	chr11	96352769	96389923	-	96389923
ENSG00000149806.10	FAU	484.348	Adipose - Subcutaneous	2197	protein coding	chr11	65120628	65122473	-	65122473
ENSG00000150991.14	UBC	439.922	Adipose - Subcutaneous	7316	protein coding	chr12	124911604	124917368	-	124917368
ENSG00000151208.16	DLG5	17.4386	Adipose - Subcutaneous	9231	protein coding	chr10	77790791	77926526	-	77926526
ENSG00000151552.11	QDPR	28.9116	Adipose - Subcutaneous	5860	protein coding	chr4	17460261	17512234	-	17512234
ENSG00000152082.13	MZT2B	116.159	Adipose - Subcutaneous	80097	protein coding	chr2	130181737	130190729	+	130181737
ENSG00000152104.11	PTPN14	9.17073	Adipose - Subcutaneous	5784	protein coding	chr1	214348696	214552449	-	214552449
ENSG00000154269.14	ENPP3	1.03255	Adipose - Subcutaneous	5169	protein coding	chr6	131628442	131747418	+	131628442
ENSG00000156261.12	CCT8	91.3931	Adipose - Subcutaneous	10694	protein coding	chr21	29055805	29073797	-	29073797
ENSG00000156990.14	RPUSD3	15.9732	Adipose - Subcutaneous	285367	protein coding	chr3	9837849	9844602	-	9844602
ENSG00000157881.13	PANK4	15.0603	Adipose - Subcutaneous	55229	protein coding	chr1	2508533	2526628	-	2526628
ENSG00000158109.14	TPRG1L	91.9956	Adipose - Subcutaneous	127262	protein coding	chr1	3625002	3630127	+	3625002
ENSG00000159363.17	ATP13A2	22.4084	Adipose - Subcutaneous	23400	protein coding	chr1	16985958	17011928	-	17011928
ENSG00000160284.14	SPATC1L	7.56309	Adipose - Subcutaneous	84221	protein coding	chr21	46161148	46184476	-	46184476
ENSG00000160293.16	VAV2	14.644	Adipose - Subcutaneous	7410	protein coding	chr9	133761894	133992604	-	133992604
ENSG00000161013.16	MGAT4B	39.1913	Adipose - Subcutaneous	11282	protein coding	chr5	179797597	179806952	-	179806952
ENSG00000161265.14	U2AF1L4	31.6257	Adipose - Subcutaneous	199746	protein coding	chr19	35742464	35745445	-	35745445
ENSG00000162599.15	NFIA	21.1741	Adipose - Subcutaneous	4774	protein coding	chr1	60865259	61462793	+	60865259
ENSG00000163378.13	EOGT	22.635	Adipose - Subcutaneous	285203	protein coding	chr3	68975214	69013961	-	69013961
ENSG00000163945.15	UVSSA	10.8952	Adipose - Subcutaneous	57654	protein coding	chr4	1347266	1388049	+	1347266
ENSG00000164307.12	ERAP1	22.9332	Adipose - Subcutaneous	51752	protein coding	chr5	96760810	96808100	-	96808100
ENSG00000164828.17	SUN1	126.293	Adipose - Subcutaneous	23353	protein coding	chr7	816615	896435	+	816615
ENSG00000164880.15	INTS1	37.9673	Adipose - Subcutaneous	26173	protein coding	chr7	1470277	1504367	-	1504367
ENSG00000165392.9	WRN	9.47025	Adipose - Subcutaneous	7486	protein coding	chr8	31033801	31173769	+	31033801
ENSG00000165501.16	LRR1	8.48565	Adipose - Subcutaneous	122769	protein coding	chr14	49598697	49614672	+	49598697
ENSG00000165650.11	PDZD8	11.647	Adipose - Subcutaneous	118987	protein coding	chr10	117277274	117375467	-	117375467
ENSG00000166471.10	TMEM41B	14.9024	Adipose - Subcutaneous	440026	protein coding	chr11	9280654	9314780	-	9314780
ENSG00000166801.15	FAM111A	20.8701	Adipose - Subcutaneous	63901	protein coding	chr11	59142748	59155039	+	59142748
ENSG00000167363.13	FN3K	11.0645	Adipose - Subcutaneous	64122	protein coding	chr17	82735575	82751197	+	82735575
ENSG00000167393.17	PPP2R3B	11.1357	Adipose - Subcutaneous	28227	protein coding	chrX	333963	386955	-	386955
ENSG00000167815.11	PRDX2	231.968	Adipose - Subcutaneous	7001	protein coding	chr19	12796820	12801859	-	12801859
ENSG00000168060.15	NAALADL1	5.83547	Adipose - Subcutaneous	10004	protein coding	chr11	65044818	65058549	-	65058549
ENSG00000168795.4	ZBTB5	9.16928	Adipose - Subcutaneous	9925	protein coding	chr9	37438114	37465399	-	37465399
ENSG00000168883.19	USP39	34.6777	Adipose - Subcutaneous	10713	protein coding	chr2	85602856	85649282	+	85602856
ENSG00000169738.7	DCXR	109.108	Adipose - Subcutaneous	51181	protein coding	chr17	82035136	82037732	-	82037732
ENSG00000169914.5	OTUD3	6.60307	Adipose - Subcutaneous	23252	protein coding	chr1	19882513	19912945	+	19882513
ENSG00000171105.13	INSR	21.8874	Adipose - Subcutaneous	3643	protein coding	chr19	7112255	7294034	-	7294034
ENSG00000171298.12	GAA	48.0207	Adipose - Subcutaneous	2548	protein coding	chr17	80101556	80119879	+	80101556
ENSG00000172889.15	EGFL7	209.625	Adipose - Subcutaneous	51162	protein coding	chr9	136658856	136672678	+	136658856
ENSG00000173209.22	AHSA2	66.2883	Adipose - Subcutaneous	130872	protein coding	chr2	61177418	61191203	+	61177418
ENSG00000173511.9	VEGFB	337.643	Adipose - Subcutaneous	7423	protein coding	chr11	64234538	64238793	+	64234538
ENSG00000174177.12	CTU2	11.792	Adipose - Subcutaneous	348180	protein coding	chr16	88706463	88715386	+	88706463
ENSG00000174197.16	MGA	6.36321	Adipose - Subcutaneous	23269	protein coding	chr15	41621224	41773081	+	41621224
ENSG00000175287.18	PHYHD1	21.4486	Adipose - Subcutaneous	254295	protein coding	chr9	128920895	128942041	+	128920895
ENSG00000175309.14	PHYKPL	30.2069	Adipose - Subcutaneous	85007	protein coding	chr5	178208497	178232791	-	178232791
ENSG00000175711.8	B3GNTL1	2.68528	Adipose - Subcutaneous	146712	protein coding	chr17	82942155	83051810	-	83051810
ENSG00000175899.14	A2M	692.432	Adipose - Subcutaneous	2	protein coding	chr12	9067664	9116229	-	9116229
ENSG00000175928.5	LRRN1	0.141005	Adipose - Subcutaneous	57633	protein coding	chr3	3799437	3847703	+	3799437
ENSG00000176155.18	CCDC57	7.58388	Adipose - Subcutaneous	284001	protein coding	chr17	82101460	82212830	-	82212830
ENSG00000176978.13	DPP7	117.894	Adipose - Subcutaneous	29952	protein coding	chr9	137110542	137115177	-	137115177
ENSG00000178927.17	C17orf62	44.1196	Adipose - Subcutaneous	79415	protein coding	chr17	82442589	82450829	-	82450829
ENSG00000180011.6	ZADH2	13.8254	Adipose - Subcutaneous	284273	protein coding	chr18	75195108	75209348	-	75209348
ENSG00000181827.14	RFX7	6.48906	Adipose - Subcutaneous	64864	protein coding	chr15	56087280	56243266	-	56243266
ENSG00000181873.12	IBA57	2.35491	Adipose - Subcutaneous	200205	protein coding	chr1	228165815	228182257	+	228165815
ENSG00000182013.17	PNMAL1	1.46011	Adipose - Subcutaneous	55228	protein coding	chr19	46466491	46471563	-	46471563
ENSG00000182022.17	CHST15	19.7408	Adipose - Subcutaneous	51363	protein coding	chr10	124007666	124093607	-	124093607
ENSG00000182511.11	FES	36.1978	Adipose - Subcutaneous	2242	protein coding	chr15	90883695	90895776	+	90883695
ENSG00000182534.13	MXRA7	64.9247	Adipose - Subcutaneous	439921	protein coding	chr17	76672551	76711016	-	76711016
ENSG00000182621.17	PLCB1	2.4103	Adipose - Subcutaneous	23236	protein coding	chr20	8077251	8968360	+	8077251
ENSG00000182742.5	HOXB4	4.96181	Adipose - Subcutaneous	3214	protein coding	chr17	48575513	48580111	-	48580111
ENSG00000183077.15	AFMID	11.9788	Adipose - Subcutaneous	125061	protein coding	chr17	78187317	78207701	+	78187317
ENSG00000183172.8	SMDT1	53.0143	Adipose - Subcutaneous	91689	protein coding	chr22	42079691	42084284	+	42079691
ENSG00000183258.11	DDX41	45.8439	Adipose - Subcutaneous	51428	protein coding	chr5	177511577	177517469	-	177517469
ENSG00000183431.11	SF3A3	36.1722	Adipose - Subcutaneous	10946	protein coding	chr1	37956975	37990921	-	37990921
ENSG00000183605.16	SFXN4	19.6082	Adipose - Subcutaneous	119559	protein coding	chr10	119140767	119165667	-	119165667
ENSG00000184470.20	TXNRD2	9.41712	Adipose - Subcutaneous	10587	protein coding	chr22	19875517	19941992	-	19941992
ENSG00000185163.9	DDX51	20.1519	Adipose - Subcutaneous	317781	protein coding	chr12	132136594	132144335	-	132144335
ENSG00000185561.9	TLCD2	14.325	Adipose - Subcutaneous	727910	protein coding	chr17	1702790	1710438	-	1710438
ENSG00000186715.10	MST1L	0.577998	Adipose - Subcutaneous	11223	transcribed unprocessed pseudogene	chr1	16754910	16770237	-	16770237
ENSG00000188372.14	ZP3	1.66272	Adipose - Subcutaneous	7784	protein coding	chr7	76397518	76442071	+	76397518
ENSG00000188687.17	SLC4A5	2.3344	Adipose - Subcutaneous	57835	protein coding	chr2	74216242	74343414	-	74343414
ENSG00000188976.10	NOC2L	52.8614	Adipose - Subcutaneous	26155	protein coding	chr1	944204	959309	-	959309
ENSG00000196329.11	GIMAP5	70.6975	Adipose - Subcutaneous	55340	protein coding	chr7	150722253	150750033	+	150722253
ENSG00000196365.11	LONP1	41.1605	Adipose - Subcutaneous	9361	protein coding	chr19	5691834	5720572	-	5720572
ENSG00000196421.8	LINC00176	0.653142	Adipose - Subcutaneous	284739	protein coding	chr20	64034344	64039962	+	64034344
ENSG00000196668.3	LINC00173	1.5483	Adipose - Subcutaneous	100287569	processed transcript	chr12	116533422	116536518	+	116533422
ENSG00000196683.10	TOMM7	264.087	Adipose - Subcutaneous	54543	protein coding	chr7	22812628	22822852	-	22822852
ENSG00000196704.11	AMZ2	38.1896	Adipose - Subcutaneous	51321	protein coding	chr17	68247574	68257164	+	68247574
ENSG00000196912.12	ANKRD36B	1.64376	Adipose - Subcutaneous	57730	protein coding	chr2	97492663	97589965	-	97589965
ENSG00000197180.2	CH17-340M24.3	12.2372	Adipose - Subcutaneous	158960	lincRNA	chrX	154424380	154428479	-	154428479
ENSG00000197272.2	IL27	0.21473	Adipose - Subcutaneous	246778	protein coding	chr16	28499362	28512051	-	28512051
ENSG00000197728.9	RPS26	289.212	Adipose - Subcutaneous	6231	protein coding	chr12	56041853	56044675	+	56041853
ENSG00000197818.11	SLC9A8	13.6777	Adipose - Subcutaneous	23315	protein coding	chr20	49812713	49892242	+	49812713
ENSG00000197912.14	SPG7	31.2201	Adipose - Subcutaneous	6687	protein coding	chr16	89490917	89557768	+	89490917
ENSG00000198468.7	FLVCR1-AS1	0.883346	Adipose - Subcutaneous	642946	lincRNA	chr1	212852108	212858088	-	212858088
ENSG00000198755.10	RPL10A	941.196	Adipose - Subcutaneous	4736	protein coding	chr6	35468408	35470785	+	35468408
ENSG00000198826.10	ARHGAP11A	1.16151	Adipose - Subcutaneous	9824	protein coding	chr15	32615144	32639949	+	32615144
ENSG00000198912.10	C1orf174	19.9298	Adipose - Subcutaneous	339448	protein coding	chr1	3889125	3900293	-	3900293
ENSG00000203875.10	SNHG5	126.407	Adipose - Subcutaneous	387066	processed transcript	chr6	85660950	85678736	-	85678736
ENSG00000204172.12	AGAP9	13.8481	Adipose - Subcutaneous	642517	protein coding	chr10	47501854	47523638	-	47523638
ENSG00000204520.12	MICA	38.3842	Adipose - Subcutaneous	100507436	protein coding	chr6	31399784	31415315	+	31399784
ENSG00000204792.2	LINC01291	2.31848	Adipose - Subcutaneous	102724515	lincRNA	chr2	74918148	74938418	+	74918148
ENSG00000205885.7	C1RL-AS1	4.29493	Adipose - Subcutaneous	283314	antisense	chr12	7108052	7122501	+	7108052
ENSG00000213246.6	SUPT4H1	67.7553	Adipose - Subcutaneous	6827	protein coding	chr17	58345175	58353093	-	58353093
ENSG00000213965.3	NUDT19	8.87871	Adipose - Subcutaneous	390916	protein coding	chr19	32691961	32713796	+	32691961
ENSG00000213999.15	MEF2B	11.6277	Adipose - Subcutaneous	100271849	protein coding	chr19	19145568	19170289	-	19170289
ENSG00000214022.11	REPIN1	39.6162	Adipose - Subcutaneous	29803	protein coding	chr7	150368189	150374044	+	150368189
ENSG00000214087.8	ARL16	40.2562	Adipose - Subcutaneous	339231	protein coding	chr17	81681174	81683924	-	81683924
ENSG00000214174.8	AMZ2P1	10.004	Adipose - Subcutaneous	201283	transcribed unprocessed pseudogene	chr17	64966550	64975576	-	64975576
ENSG00000214595.11	EML6	0.687526	Adipose - Subcutaneous	400954	protein coding	chr2	54723499	54972025	+	54723499
ENSG00000215559.8	ANKRD20A11P	0.404729	Adipose - Subcutaneous	391267	transcribed unprocessed pseudogene	chr21	13909574	13980437	-	13980437
ENSG00000215861.5	WI2-1896O14.1	12.1616	Adipose - Subcutaneous	653513	unprocessed pseudogene	chr1	149197992	149321732	-	149321732
ENSG00000221838.9	AP4M1	12.2194	Adipose - Subcutaneous	9179	protein coding	chr7	100101549	100110345	+	100101549
ENSG00000224086.5	LL22NC03-86G7.1	0.64569	Adipose - Subcutaneous		antisense	chr22	21938293	21977632	+	21938293
ENSG00000224497.1	RPL36P4	1.5284	Adipose - Subcutaneous		processed pseudogene	chr20	35544430	35544747	-	35544747
ENSG00000226363.3	HAGLROS	1.78343	Adipose - Subcutaneous		lincRNA	chr2	176177717	176179008	+	176177717
